county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal,f_percent,"FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2015-16 
CALPADS Fall 1 
Certification Status"
01,61119,0134304,Continuation School,N,9,12,117,51,43.6%,54,46.2%,80,32,40.0%,34,42.5%,Y
01,61119,6090005,Traditional,N,K,5,520,113,21.7%,136,26.2%,508,110,21.7%,133,26.2%,Y
01,61119,6090013,Traditional,N,K,5,478,49,10.3%,54,11.3%,478,49,10.3%,54,11.3%,Y
01,61119,6090021,Traditional,N,K,5,593,79,13.3%,101,17.0%,593,79,13.3%,101,17.0%,Y
01,61119,6090039,Traditional,N,K,5,339,38,11.2%,46,13.6%,339,38,11.2%,46,13.6%,Y
01,61119,6090047,Traditional,N,K,5,438,197,45.0%,222,50.7%,423,188,44.4%,213,50.4%,Y
01,61119,6090054,Traditional,N,6,8,888,89,10.0%,112,12.6%,888,89,10.0%,112,12.6%,Y
01,61119,6090112,Traditional,N,6,8,468,190,40.6%,217,46.4%,468,190,40.6%,217,46.4%,Y
01,61119,6090120,Traditional,N,K,5,297,110,37.0%,125,42.1%,284,107,37.7%,122,43.0%,Y
01,61119,6100374,Traditional,N,K,5,622,39,6.3%,46,7.4%,598,37,6.2%,44,7.4%,Y
01,61119,6110779,Traditional,N,K,8,591,26,4.4%,37,6.3%,591,26,4.4%,37,6.3%,Y
01,61127,0000001,N/A,N/A,,,4,0,0.0%,0,0.0%,3,0,0.0%,0,0.0%,Y
01,61127,0130294,Continuation School,N,10,12,16,5,31.3%,9,56.3%,15,4,26.7%,8,53.3%,Y
01,61127,0130450,Traditional,N,9,12,1210,140,11.6%,206,17.0%,1179,136,11.5%,201,17.0%,Y
01,61127,6090146,Traditional,N,K,5,548,45,8.2%,60,10.9%,548,45,8.2%,60,10.9%,Y
01,61127,6090161,Traditional,N,6,8,895,118,13.2%,156,17.4%,895,118,13.2%,156,17.4%,Y
01,61127,6095376,Traditional,N,K,5,497,55,11.1%,68,13.7%,497,55,11.1%,68,13.7%,Y
01,61127,6116222,Traditional,N,K,5,652,145,22.2%,182,27.9%,614,142,23.1%,177,28.8%,Y
01,61143,0000001,N/A,N/A,,,25,5,20.0%,5,20.0%,19,4,21.1%,4,21.1%,Y
01,61143,0122689,Traditional,Y,6,8,302,174,57.6%,218,72.2%,302,174,57.6%,218,72.2%,Y
01,61143,0122697,Traditional,Y,9,12,366,216,59.0%,268,73.2%,351,206,58.7%,257,73.2%,Y
01,61143,0131177,Traditional,N,9,12,3113,737,23.7%,861,27.7%,3020,703,23.3%,822,27.2%,Y
01,61143,0134924,Continuation School,N,10,12,64,45,70.3%,47,73.4%,54,38,70.4%,40,74.1%,Y
01,61143,6056857,Traditional,N,6,8,1027,289,28.1%,361,35.2%,1027,289,28.1%,361,35.2%,Y
01,61143,6056865,Traditional,N,6,8,569,213,37.4%,260,45.7%,569,213,37.4%,260,45.7%,Y
01,61143,6090187,Traditional,N,K,5,463,125,27.0%,140,30.2%,455,123,27.0%,138,30.3%,Y
01,61143,6090195,Traditional,N,K,5,419,128,30.5%,157,37.5%,419,128,30.5%,157,37.5%,Y
01,61143,6090211,Traditional,N,K,5,305,108,35.4%,126,41.3%,305,108,35.4%,126,41.3%,Y
01,61143,6090252,Traditional,N,K,5,422,115,27.3%,132,31.3%,412,113,27.4%,130,31.6%,Y
01,61143,6090278,Traditional,N,K,5,354,126,35.6%,160,45.2%,347,124,35.7%,158,45.5%,Y
01,61143,6090286,Traditional,N,K,5,571,150,26.3%,177,31.0%,549,146,26.6%,171,31.1%,Y
01,61143,6090294,Traditional,N,6,8,512,226,44.1%,256,50.0%,512,226,44.1%,256,50.0%,Y
01,61143,6090302,Traditional,N,K,5,302,108,35.8%,124,41.1%,302,108,35.8%,124,41.1%,Y
01,61143,6090310,Traditional,N,K,5,442,153,34.6%,184,41.6%,442,153,34.6%,184,41.6%,Y
01,61143,6090328,Traditional,N,K,5,466,113,24.2%,141,30.3%,454,108,23.8%,136,30.0%,Y
01,61143,6097729,Traditional,N,K,5,448,128,28.6%,153,34.2%,441,127,28.8%,152,34.5%,Y
01,61143,6105316,Traditional,N,K,5,292,113,38.7%,131,44.9%,292,113,38.7%,131,44.9%,Y
01,61150,0000001,N/A,N/A,,,20,7,35.0%,7,35.0%,16,7,43.8%,7,43.8%,Y
01,61150,0130047,Special Education School,N,9,12,27,5,18.5%,5,18.5%,0,0,0.0%,0,0.0%,Y
01,61150,0132225,Traditional,N,9,12,2917,445,15.3%,593,20.3%,2848,428,15.0%,569,20.0%,Y
01,61150,0135533,Continuation School,N,9,12,141,36,25.5%,42,29.8%,123,30,24.4%,36,29.3%,Y
01,61150,6090351,Traditional,N,K,5,469,153,32.6%,193,41.2%,457,152,33.3%,192,42.0%,Y
01,61150,6090369,Traditional,N,K,5,456,60,13.2%,81,17.8%,456,60,13.2%,81,17.8%,Y
01,61150,6090385,Traditional,N,6,8,793,107,13.5%,153,19.3%,793,107,13.5%,153,19.3%,Y
01,61150,6090393,Traditional,N,K,5,653,69,10.6%,89,13.6%,629,66,10.5%,86,13.7%,Y
01,61150,6090401,Traditional,N,K,5,477,152,31.9%,184,38.6%,477,152,31.9%,184,38.6%,Y
01,61150,6090419,Traditional,N,K,5,140,13,9.3%,18,12.9%,140,13,9.3%,18,12.9%,Y
01,61150,6090435,Traditional,N,K,5,501,54,10.8%,77,15.4%,501,54,10.8%,77,15.4%,Y
01,61150,6090468,Traditional,N,K,5,479,101,21.1%,145,30.3%,464,100,21.6%,144,31.0%,Y
01,61150,6090484,Traditional,N,K,5,442,55,12.4%,63,14.3%,442,55,12.4%,63,14.3%,Y
01,61150,6097653,Traditional,N,6,8,1412,252,17.8%,320,22.7%,1412,252,17.8%,320,22.7%,Y
01,61150,6113005,Traditional,N,K,5,439,18,4.1%,23,5.2%,439,18,4.1%,23,5.2%,Y
01,61168,0132746,Traditional,N,9,12,174,114,65.5%,124,71.3%,170,113,66.5%,122,71.8%,Y
01,61168,6090492,Traditional,N,K,8,524,349,66.6%,393,75.0%,519,345,66.5%,389,75.0%,Y
01,61176,0000001,N/A,N/A,,,44,3,6.8%,3,6.8%,35,3,8.6%,3,8.6%,Y
01,61176,0127233,Special Education School,N,9,12,23,0,0.0%,0,0.0%,1,0,0.0%,0,0.0%,Y
01,61176,0130062,Traditional,N,9,12,2093,364,17.4%,457,21.8%,2050,346,16.9%,438,21.4%,Y
01,61176,0130138,Continuation School,N,9,12,204,107,52.5%,124,60.8%,173,88,50.9%,103,59.5%,Y
01,61176,0130435,Alternative School of Choice,N,7,12,29,6,20.7%,6,20.7%,26,6,23.1%,6,23.1%,Y
01,61176,0130534,Traditional,Y,K,12,304,47,15.5%,49,16.1%,297,46,15.5%,48,16.2%,Y
01,61176,0134270,Traditional,N,9,12,2253,280,12.4%,360,16.0%,2212,275,12.4%,351,15.9%,Y
01,61176,0134452,Traditional,N,9,12,1401,481,34.3%,603,43.0%,1356,467,34.4%,587,43.3%,Y
01,61176,0135244,Traditional,N,9,12,2069,70,3.4%,84,4.1%,2044,69,3.4%,83,4.1%,Y
01,61176,0138693,Traditional,N,9,12,1822,438,24.0%,532,29.2%,1763,420,23.8%,508,28.8%,Y
01,61176,6000541,Traditional,N,K,6,456,187,41.0%,233,51.1%,440,184,41.8%,227,51.6%,Y
01,61176,6000558,Traditional,N,K,6,754,298,39.5%,346,45.9%,733,295,40.2%,343,46.8%,Y
01,61176,6000566,Traditional,N,K,6,484,217,44.8%,251,51.9%,484,217,44.8%,251,51.9%,Y
01,61176,6000590,Traditional,N,K,6,472,227,48.1%,276,58.5%,472,227,48.1%,276,58.5%,Y
