school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Charter School Of San Diego,math,2226,True,0.611,0.731,31.35211267605634,445.2,9,5,0,0.0,-5090.988202698735,0.121117136659436
Chatsworth Charter High,ela,2068,True,0.514,0.652,21.32178575110836,517.0,16,16,0,0.0,5587.211817288847,0.58
Chatsworth Charter High,math,2068,True,0.514,0.652,21.32178575110836,517.0,16,16,0,0.0,5587.211817288847,0.27
Chawanakee Academy Charter,ela,138,True,0.341,0.419,24.46808510638298,138.0,22,18,0,0,4731.1022232558125,0.38
Chawanakee Academy Charter,math,138,True,0.341,0.419,24.46808510638298,138.0,22,18,0,0,4731.1022232558125,0.21791044776119406
Chester Junior/Senior High,ela,163,False,0.29600000000000004,0.415,12.5,40.95477386934673,14,11,0,0.17177914110429449,4153.57280847145,0.5006060606060606
Chester Junior/Senior High,math,163,False,0.29600000000000004,0.415,12.5,40.95477386934673,14,11,0,0.17177914110429449,4153.57280847145,0.31939393939393934
Chico High,ela,1797,False,0.285,0.335,21.116333725029378,449.25,20,16,0,0.032832498608792435,4508.28898253716,0.6699999999999999
Chico High,math,1797,False,0.285,0.335,21.116333725029378,449.25,20,16,0,0.032832498608792435,4508.28898253716,0.47000000000000003
Chino High,ela,2229,False,0.509,0.619,18.41083670603783,398.03571428571433,12,12,0,0.054284432480933155,4615.170772668351,0.57
Chino High,math,2229,False,0.509,0.619,18.41083670603783,398.03571428571433,12,12,0,0.054284432480933155,4615.170772668351,0.29000000000000004
Chino Hills High,ela,2912,False,0.209,0.275,24.216216216216218,606.6666666666667,10,10,0,0.042582417582417584,4615.170772668351,0.76
Chino Hills High,math,2912,False,0.209,0.275,24.216216216216218,606.6666666666667,10,10,0,0.042582417582417584,4615.170772668351,0.54
Chowchilla Union High,ela,1066,False,0.5920000000000001,0.682,22.9247311827957,266.5,10,7,0,0.05347091932457786,4449.045924563015,0.52
Chowchilla Union High,math,1066,False,0.5920000000000001,0.682,22.9247311827957,266.5,10,7,0,0.05347091932457786,4449.045924563015,0.18
Christopher High,ela,1833,False,0.33799999999999997,0.41,21.600282818760313,611.0,11,8,0,0.06655755591925805,4664.917393688828,0.56
