school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Emerald Middle,math,525,False,0.872,0.93,19.444444444444443,,15,10,0.2742857142857143,4745.384207870229,0.16665067178502882
Emerson Community Charter,ela,605,True,0.42100000000000004,0.504,21.607142857142858,302.5,17,16,0.08264462809917356,5587.211817288847,0.4523043478260869
Emerson Community Charter,math,605,True,0.42100000000000004,0.504,21.607142857142858,302.5,17,16,0.08264462809917356,5587.211817288847,0.3581122448979592
Emerson Middle,ela,652,False,0.857,0.94,22.482758620689655,326.0,9,9,0.11503067484662577,5690.682534390678,0.2562471655328798
Emerson Middle,math,652,False,0.857,0.94,22.482758620689655,326.0,9,9,0.11503067484662577,5690.682534390678,0.12618154538634657
Emilie J. Ross Middle,ela,482,False,0.49200000000000005,0.564,26.527242707760042,241.0,13,9,0.05186721991701245,5588.428024516741,0.4677467811158798
Emilie J. Ross Middle,math,482,False,0.49200000000000005,0.564,26.527242707760042,241.0,13,9,0.05186721991701245,5588.428024516741,0.26819057815845826
Endeavour Middle,ela,793,False,0.623,0.667,19.29440389294404,264.3333333333333,16,12,0.03783102143757881,4577.099326401153,0.3630332056194125
Endeavour Middle,math,793,False,0.623,0.667,19.29440389294404,264.3333333333333,16,12,0.03783102143757881,4577.099326401153,0.18905006418485235
Enterprise Middle,ela,368,False,0.815,0.88,17.037037037037035,245.33333333333334,11,11,0.0,6162.484484085179,0.30909972299168975
Enterprise Middle,math,368,False,0.815,0.88,17.037037037037035,245.33333333333334,11,11,0.0,6162.484484085179,0.15833841463414636
Environmental Charter Middle,ela,354,True,0.72,0.955,19.666666666666668,177.0,6,2,0.031073446327683617,20711.151504424797,0.34825581395348837
Environmental Charter Middle,math,354,True,0.72,0.955,19.666666666666668,177.0,6,2,0.031073446327683617,20711.151504424797,0.27065217391304347
Environmental Charter Middle - Inglewood,ela,182,True,0.7909999999999999,0.956,16.545454545454547,91.0,5,2,0.0,20711.151504424797,0.46016574585635356
