school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Delevan Drive Elementary,ela,487,False,0.446,0.618,19.48,487.0,18,17,0,0,5587.211817288847,0.6588825757575757
Delevan Drive Elementary,math,487,False,0.446,0.618,19.48,487.0,18,17,0,0,5587.211817288847,0.6170754716981133
Della S. Lindley Elementary,ela,649,False,0.76,0.867,20.40880503144654,649.0,13,11,0,0.08320493066255778,6008.16701130717,0.3702011494252873
Della S. Lindley Elementary,math,649,False,0.76,0.867,20.40880503144654,649.0,13,11,0,0.08320493066255778,6008.16701130717,0.2777873563218391
Delta Elementary Charter,ela,412,True,0.21100000000000002,0.297,26.410256410256412,206.0,9,5,0,0,3086.2699455155075,0.5070661157024794
Delta Elementary Charter,math,412,True,0.21100000000000002,0.297,26.410256410256412,206.0,9,5,0,0,3086.2699455155075,0.4116942148760331
Delta View Elementary,ela,633,False,0.408,0.5,21.1,316.5,14,12,0,0.0,254.86259646930188,0.4468140243902439
Delta View Elementary,math,633,False,0.408,0.5,21.1,316.5,14,12,0,0.0,254.86259646930188,0.3819148936170213
Demille Elementary,ela,471,False,0.804,0.895,22.975609756097562,471.0,18,17,0,0.0,8205.314455908945,0.4717094017094017
Demille Elementary,math,471,False,0.804,0.895,22.975609756097562,471.0,18,17,0,0.0,8205.314455908945,0.4225726141078838
Dena Boer,ela,561,False,0.5329999999999999,0.701,29.479768786127167,561.0,15,14,0,0.024955436720142603,4640.570207833736,0.3212720848056537
Dena Boer,math,561,False,0.5329999999999999,0.701,29.479768786127167,561.0,15,14,0,0.024955436720142603,4640.570207833736,0.2877992957746479
Denair Elementary Charter Academy,ela,494,True,0.541,0.645,23.523809523809526,,17,14,0,0,4399.523087774291,0.28004347826086956
Denair Elementary Charter Academy,math,494,True,0.541,0.645,23.523809523809526,,17,14,0,0,4399.523087774291,0.22744588744588748
Denker Avenue Elementary,ela,768,False,0.5920000000000001,0.779,19.692307692307693,384.0,18,18,0,0,5587.211817288847,0.4476478873239437
Denker Avenue Elementary,math,768,False,0.5920000000000001,0.779,19.692307692307693,384.0,18,18,0,0,5587.211817288847,0.3786901408450704
Dennis G. Earl Elementary,ela,866,False,0.446,0.52,22.205128205128204,433.0,16,12,0,0.054272517321016164,4630.296750408061,0.4498868312757202
Dennis G. Earl Elementary,math,866,False,0.446,0.52,22.205128205128204,433.0,16,12,0,0.054272517321016164,4630.296750408061,0.28918864097363084
Dent Elementary,ela,611,False,0.40299999999999997,0.49,18.71362940275651,305.5,12,10,0,0.0,4964.912917107582,0.3498095238095238
Dent Elementary,math,611,False,0.40299999999999997,0.49,18.71362940275651,305.5,12,10,0,0.0,4964.912917107582,0.3105555555555556
Descanso Elementary,ela,175,False,0.43,0.535,19.444444444444443,175.0,17,15,0,0,3643.596100317909,0.6914285714285714
Descanso Elementary,math,175,False,0.43,0.535,19.444444444444443,175.0,17,15,0,0,3643.596100317909,0.5829761904761904
Desert Garden Elementary,ela,361,False,0.7559999999999999,0.8420000000000001,25.785714285714285,361.0,18,15,0,0,4619.8123575670015,0.3520149253731344
Desert Garden Elementary,math,361,False,0.7559999999999999,0.8420000000000001,25.785714285714285,361.0,18,15,0,0,4619.8123575670015,0.25205445544554456
Desert Knolls Elementary,ela,596,False,0.7040000000000001,0.753,22.49056603773585,596.0,17,14,0,0.1040268456375839,4411.897668914173,0.30889776357827475
Desert Knolls Elementary,math,596,False,0.7040000000000001,0.753,22.49056603773585,596.0,17,14,0,0.1040268456375839,4411.897668914173,0.19843949044585987
